"type","R.est"
"MDR Ural",2.63774008805881
"MDR Ural",2.64023248137685
"MDR Ural",2.82933252433626
"MDR Ural",3.01148975050974
"MDR Ural",2.87320049743941
"MDR Ural",2.73320525236315
"MDR Ural",2.57921312942
"MDR Ural",2.4198602437568
"MDR Ural",3.12814394388579
"MDR Ural",2.9094662122407
"MDR Ural",3.44622706265289
"MDR Ural",2.86761621537237
"MDR Ural",2.8109642546757
"MDR Ural",2.64380577096164
"MDR Ural",2.34433242615567
"MDR Ural",2.61173961004489
"MDR Ural",2.44003426835225
"MDR Ural",2.856891540875
"MDR Ural",3.34849827708552
"MDR Ural",2.99475390681682
"MDR Ural",3.2894761209701
"MDR Ural",2.79749644537857
"MDR Ural",2.52686207291133
"MDR Ural",2.58144857503837
"MDR Ural",2.83353038942383
"MDR Ural",2.47805502481239
"MDR Ural",3.0373067959361
"MDR Ural",2.68716685615229
"MDR Ural",2.59503151460734
"MDR Ural",2.31102656744377
"MDR Ural",2.36637587026461
"MDR Ural",2.72199191119403
"MDR Ural",2.55787902797873
"MDR Ural",2.66641095789582
"MDR Ural",2.80951668295413
"MDR Ural",2.97892085391988
"MDR Ural",3.30715333208297
"MDR Ural",3.7014754563019
"MDR Ural",2.62697455185063
"MDR Ural",3.09220620433444
"MDR Ural",2.97232739470522
"MDR Ural",2.99406603591279
"MDR Ural",3.24714275202415
"MDR Ural",2.97767653513501
"MDR Ural",3.02883593166048
"MDR Ural",2.89284889317021
"MDR Ural",3.27234536614897
"MDR Ural",2.83472993282033
"MDR Ural",2.97291577106828
"MDR Ural",2.88721072987842
"MDR Ural",2.86238311899321
"MDR Ural",3.06788469085622
"MDR Ural",3.23619062645448
"MDR Ural",3.06885814169557
"MDR Ural",3.05766101323016
"MDR Ural",3.05773076499821
"MDR Ural",2.78452406317591
"MDR Ural",2.65312536469895
"MDR Ural",2.73509371682093
"MDR Ural",2.44191552438234
"MDR Ural",2.36300010102108
"MDR Ural",2.89363582925641
"MDR Ural",1.99922820741986
"MDR Ural",3.05244974068234
"MDR Ural",2.47632536896458
"MDR Ural",2.54886521870831
"MDR Ural",2.44557777310268
"MDR Ural",3.23532323517798
"MDR Ural",2.51050746720819
"MDR Ural",3.8482226540907
"MDR Ural",3.12973452191764
"MDR Ural",3.382038609093
"MDR Ural",3.27712399076659
"MDR Ural",3.1870178529657
"MDR Ural",3.53852099303614
"MDR Ural",3.20940265695487
"MDR Ural",3.3027998175927
"MDR Ural",3.26149611334136
"MDR Ural",2.58545526605554
"MDR Ural",2.83175138654287
"MDR Ural",2.5123360470665
"MDR Ural",2.65407484339789
"MDR Ural",2.69435500461415
"MDR Ural",2.8902478462311
"MDR Ural",2.65128291197294
"MDR Ural",2.51241863246738
"MDR Ural",3.40738591850861
"MDR Ural",2.6488837050312
"MDR Ural",2.16772562502536
"MDR Ural",2.37996376401135
"MDR Ural",2.70756306386168
"MDR Ural",3.08376607687252
"MDR Ural",2.86570878101834
"MDR Ural",2.79421525497442
"MDR Ural",1.96147676256723
"MDR Ural",2.17416489995182
"MDR Ural",2.35982658128457
"MDR Ural",2.62683058804453
"MDR Ural",2.073157156323
"MDR Ural",2.09001801326797
"MDR Ural",2.01917541984814
"MDR Ural",2.87457407897335
"MDR Ural",1.98068733950413
"MDR Ural",1.9462065817917
"MDR Ural",2.05559043935789
"MDR Ural",2.29570220301851
"MDR Ural",2.40224859516163
"MDR Ural",1.94262111821831
"MDR Ural",1.92107141699932
"MDR Ural",2.38810708852719
"MDR Ural",2.40583711096282
"MDR Ural",2.34193603699383
"MDR Ural",2.18287064251909
"MDR Ural",2.18708691370155
"MDR Ural",1.76109948310794
"MDR Ural",1.7953327760758
"MDR Ural",2.72111425738337
"MDR Ural",2.45178385759031
"MDR Ural",2.54865847781165
"MDR Ural",2.69170950144062
"MDR Ural",2.37155827075818
"MDR Ural",2.51290495914486
"MDR Ural",2.44488850654334
"MDR Ural",2.79492146009725
"MDR Ural",2.22578242602664
"MDR Ural",2.86530844414087
"MDR Ural",3.03017065536417
"MDR Ural",3.96082555030367
"MDR Ural",4.1635231304664
"MDR Ural",3.68816914823316
"MDR Ural",4.1418947159105
"MDR Ural",3.81123979466897
"MDR Ural",3.55514618170498
"MDR Ural",3.55968403829888
"MDR Ural",3.30527454374808
"MDR Ural",4.25160125542762
"MDR Ural",4.06697244686686
"MDR Ural",3.08347126996742
"MDR Ural",3.71637468890976
"MDR Ural",3.47470541322133
"MDR Ural",3.54844819322639
"MDR Ural",4.27500404678879
"MDR Ural",3.9127689383594
"MDR Ural",4.40393959830084
"MDR Ural",3.69392899997095
"MDR Ural",4.19462497024612
"MDR Ural",4.52741198832839
"MDR Ural",4.15299313654826
"MDR Ural",3.68275449904815
"MDR Ural",3.08985794133515
"MDR Ural",3.15826664844534
"MDR Ural",2.56916826753516
"MDR Ural",2.89500198706121
"MDR Ural",3.43878605605681
"MDR Ural",3.37267532502564
"MDR Ural",3.7641939445759
"MDR Ural",3.80600522979271
"MDR Ural",3.56248207082838
"MDR Ural",3.37737971987976
"MDR Ural",3.55581097160615
"MDR Ural",3.28677851956562
"MDR Ural",3.19912513052375
"MDR Ural",3.67593541619124
"MDR Ural",3.18345464308219
"MDR Ural",3.20840797331063
"MDR Ural",3.97264893914934
"MDR Ural",3.14974539970338
"MDR Ural",3.15478769013297
"MDR Ural",3.06361558996334
"MDR Ural",3.45923285287501
"MDR Ural",2.86811326680936
"MDR Ural",2.74643412021807
"MDR Ural",3.0388270643485
"MDR Ural",2.92631619405825
"MDR Ural",2.99306863775676
"MDR Ural",2.73912911428864
"MDR Ural",3.0095595200391
"MDR Ural",3.22129665977647
"MDR Ural",3.08847739324444
"MDR Ural",2.79087847227353
"MDR Ural",2.42285558387483
"MDR Ural",2.82662359753002
"MDR Ural",2.41241449305021
"MDR Ural",2.58889912709501
"MDR Ural",2.56288726611323
"MDR Ural",2.62395183136346
"MDR Ural",2.68335542469803
"MDR Ural",2.22639005633907
"MDR Ural",2.34827098088308
"MDR Ural",2.76608103837812
"MDR Ural",3.70184184139816
"MDR Ural",3.22191886942647
"MDR Ural",3.06867555732551
"MDR Ural",3.19929665236225
"MDR Ural",3.09151883026082
"MDR Ural",2.37959722357215
"MDR Ural",2.27654698132976
"MDR Ural",2.53691140517723
"MDR Ural",2.4559589316446
"MDR Ural",2.50034094355107
"MDR Ural",2.93152079790925
"MDR Ural",2.81662203899873
"MDR Ural",2.88257471744837
"MDR Ural",3.42249215149967
"MDR Ural",2.57307699989261
"MDR Ural",2.47431329883174
"MDR Ural",2.39616173160577
"MDR Ural",2.64180407114606
"MDR Ural",2.46853488637664
"MDR Ural",2.64801210111716
"MDR Ural",2.33705955891735
"MDR Ural",2.64023891116666
"MDR Ural",2.69653267171502
"MDR Ural",2.33715918743295
"MDR Ural",2.78130493277993
"MDR Ural",3.19557300843916
"MDR Ural",2.9793821289531
"MDR Ural",2.38253238487337
"MDR Ural",2.23361389917499
"MDR Ural",2.56024710315183
"MDR Ural",2.54935796744809
"MDR Ural",2.69676108952891
"MDR Ural",2.2980406717955
"MDR Ural",2.32944106881428
"MDR Ural",2.47339098045608
"MDR Ural",2.70106714668776
"MDR Ural",2.6555532180282
"MDR Ural",2.45981341468135
"MDR Ural",2.41054368836501
"MDR Ural",2.40068840845287
"MDR Ural",2.41439915298762
"MDR Ural",2.77607845150632
"MDR Ural",2.47748983307226
"MDR Ural",2.50692068219324
"MDR Ural",2.06614143045757
"MDR Ural",1.90116225956501
"MDR Ural",2.09142537288213
"MDR Ural",2.57622648791708
"MDR Ural",2.58415598502868
"MDR Ural",2.55984780826185
"MDR Ural",2.65075294806089
"MDR Ural",2.30363536483463
"MDR Ural",2.24249750773502
"MDR Ural",2.56087081992367
"MDR Ural",2.69078038979399
"MDR Ural",3.05328652187807
"MDR Ural",2.28847276319125
"MDR Ural",2.60336627368333
"MDR Ural",2.86735459229733
"MDR Ural",2.83048515687771
"MDR Ural",2.81287698637022
"MDR Ural",2.80158117485009
"MDR Ural",3.12331817903674
"MDR Ural",3.20878432861894
"MDR Ural",3.10197321090207
"MDR Ural",3.61049033817201
"MDR Ural",3.40807999986233
"MDR Ural",3.46154171915005
"MDR Ural",2.89060915380508
"MDR Ural",2.80971498483515
"MDR Ural",3.56985401565218
"MDR Ural",4.17221586971165
"MDR Ural",3.32502130799273
"MDR Ural",3.10129481813401
"MDR Ural",2.57846746753795
"MDR Ural",3.26282488463388
"MDR Ural",3.10745139266429
"MDR Ural",3.39506707140508
"MDR Ural",3.00476867856584
"MDR Ural",2.82977472099384
"MDR Ural",2.43490824365238
"MDR Ural",2.4319873270037
"MDR Ural",2.25794205209092
"MDR Ural",2.89548501302681
"MDR Ural",2.8132691517421
"MDR Ural",2.27330721712908
"MDR Ural",2.13323368161042
"MDR Ural",2.1603472252564
"MDR Ural",2.22627112744815
"MDR Ural",2.11932999513572
"MDR Ural",2.42702797020723
"MDR Ural",2.0069003903846
"MDR Ural",2.02948273060634
"MDR Ural",2.22030360063373
"MDR Ural",2.20067884209508
"MDR Ural",2.17878320355481
"MDR Ural",2.25223847112333
"MDR Ural",2.5284401351356
"MDR Ural",2.57669891402989
"MDR Ural",3.14356802441694
"MDR Ural",3.18991273039481
"MDR Ural",2.29887177504407
"MDR Ural",3.04412262703169
"MDR Ural",2.78363638269017
"MDR Ural",2.73219758198923
"MDR Ural",2.86139643494638
"MDR Ural",2.57384641709292
"MDR Ural",2.52095393902974
"MDR Ural",2.73848396969283
"MDR Ural",2.77591084069603
"MDR Ural",2.62688695011131
"MDR Ural",3.17885310980785
"MDR Ural",2.42532041828136
"MDR Ural",2.64025660467837
"MDR Ural",3.20467354649893
"MDR Ural",2.86518383699512
"MDR Ural",3.43883139690158
"MDR Ural",3.15457532322918
"MDR Ural",2.78863363874551
"MDR Ural",2.77563413084138
"MDR Ural",2.86902555355772
"MDR Ural",3.50485960057494
"MDR Ural",3.02041340129993
"MDR Ural",2.85028550867024
"MDR Ural",2.96191566643876
"MDR Ural",2.56709797337413
"MDR Ural",3.14757080761768
"MDR Ural",2.86894457335872
"MDR Ural",2.54675323987943
"MDR Ural",2.6274237858506
"MDR Ural",3.16804315131495
"MDR Ural",2.83267425628273
"MDR Ural",2.85358594613661
"MDR Ural",2.89132198064166
"MDR Ural",2.75995009124896
"MDR Ural",2.8178991720973
"MDR Ural",2.65416984781742
"MDR Ural",2.36610746739216
"MDR Ural",2.50116690480919
"MDR Ural",2.58430700690559
"MDR Ural",3.15545651715832
"MDR Ural",2.72813327799987
"MDR Ural",2.92162897529054
"MDR Ural",2.79859992654123
"MDR Ural",2.54564223658361
"MDR Ural",2.88849275801734
"MDR Ural",2.77597700355125
"MDR Ural",3.14758811171271
"MDR Ural",2.62307679671947
"MDR Ural",2.65528890486835
"MDR Ural",2.51709618444296
"MDR Ural",2.34553522030795
"MDR Ural",3.0898617770167
"MDR Ural",2.24588435259428
"MDR Ural",2.52618595813871
"MDR Ural",2.28764263582694
"MDR Ural",2.20005654780244
"MDR Ural",2.52298808510039
"MDR Ural",2.51207444964983
"MDR Ural",2.27563876160435
"MDR Ural",2.20963146590056
"MDR Ural",2.47070700999813
"MDR Ural",2.22815540620489
"MDR Ural",2.09194163369755
"MDR Ural",2.59069282509044
"MDR Ural",1.92728014306541
"MDR Ural",1.99328122073193
"MDR Ural",2.11185398600855
"MDR Ural",2.10702898950935
"MDR Ural",2.00154608026431
"MDR Ural",1.91344608293627
"MDR Ural",1.93582812906342
"MDR Ural",1.82733196772879
"MDR Ural",1.64277090042946
"MDR Ural",2.01720516833986
"MDR Ural",1.93920426420207
"MDR Ural",2.00748737457554
"MDR Ural",1.74711171326547
"MDR Ural",1.7838204273283
"MDR Ural",1.853154836518
"MDR Ural",1.54828102430336
"MDR Ural",1.81672099119772
"MDR Ural",1.94325555187117
"MDR Ural",1.95806252447106
"MDR Ural",2.03502255408535
"MDR Ural",1.53251000406203
"MDR Ural",1.93395521379508
