"Tip","Location","MDRstatus"
"TB-444-4422-18_S100","Moldova","MDR"
"TB-111-14675-18_S164","Moldova","non-MDR"
"TB-222-4948-18_S73","Moldova","MDR"
"TB-111-14524-19_S158","Moldova","MDR"
"TB-111-14558-19_S78","Moldova","non-MDR"
"TB-111-14733-19_S155","Moldova","MDR"
"TB-111-15171-18-138_S6","Moldova","MDR"
"TB-111-15075-18_S144","Moldova","non-MDR"
"TB-111-15086-18_S161","Moldova","MDR"
"TB-111-15148-18_S245","Moldova","non-MDR"
"TB-222-4848-19_S273","Moldova","MDR"
"TB-111-15201-18_S165","Moldova","non-MDR"
"TB-444-4775-18_S28","Moldova","MDR"
"TB-111-15297-18_S84","Moldova","non-MDR"
"TB-222-4939-19_S215","Moldova","MDR"
"TB-111-15339-19_S16","Moldova","MDR"
"TB-111-15340-19_S116","Moldova","MDR"
"TB-111-15341-19_S98","Moldova","MDR"
"TB-111-15345-19_S9","Moldova","MDR"
"TB-111-15382-19_S141","Moldova","MDR"
"TB-222-4964-19_S216","Moldova","MDR"
"TB-111-15794-18_S149","Moldova","non-MDR"
"TB-111-15751-18-138_S20","Moldova","MDR"
"TB-111-15561-19_S127","Moldova","MDR"
"TB-111-15657-19_S142","Moldova","MDR"
"TB-111-15713-19_S73","Moldova","MDR"
"TB-111-16133-18-138_S10","Moldova","MDR"
"TB-111-15903-19_S5","Moldova","non-MDR"
"TB-111-15916-19_S161","Moldova","MDR"
"TB-111-15895-18-138_S49","Moldova","non-MDR"
"TB-222-5151-19_S258","Moldova","MDR"
"TB-111-16121-18-138_S29","Moldova","non-MDR"
"TB-222-5557-18_S61","Moldova","MDR"
"TB-111-16379-18_S126","Moldova","MDR"
"TB-111-16297-19_S60","Moldova","MDR"
"TB-111-16436-19_S115","Moldova","non-MDR"
"TB-111-16485-19_S117","Moldova","non-MDR"
"TB-444-5286-18_S34","Moldova","MDR"
"TB-111-16817-18_S138","Moldova","non-MDR"
"TB-111-16645-19_S110","Moldova","non-MDR"
"TB-111-16694-19_S61","Moldova","MDR"
"TB-111-16777-18_S100","Moldova","MDR"
"TB-111-16779-18_S99","Moldova","non-MDR"
"TB-111-16979-18_S43","Moldova","non-MDR"
"TB-444-5376-18_S110","Moldova","non-MDR"
"TB-222-5766-18_S55","Moldova","MDR"
"TB-111-16954-18_S30","Moldova","MDR"
"TB-444-5442-18_S64","Moldova","MDR"
"TB-111-17049-19_S2","Moldova","MDR"
"TB-111-17019-18_S34","Moldova","MDR"
"TB-111-17335-18-138_S16","Moldova","MDR"
"TB-111-17340-18-138_S30","Moldova","non-MDR"
"TB-111-17429-18_S15","Moldova","non-MDR"
"TB-222-5642-19_S268","Moldova","MDR"
"TB-111-17415-18-138_S53","Moldova","MDR"
"TB-222-5961-18_S60","Moldova","non-MDR"
"TB-444-5609-18_S182","Moldova","MDR"
"TB-111-17649-19_S3","Moldova","non-MDR"
"TB-111-17590-18_S33","Moldova","MDR"
"TB-111-17827-18_S136","Moldova","MDR"
"TB-111-17916-18_S120","Moldova","MDR"
"TB-111-17797-18_S133","Moldova","MDR"
"TB-444-5756-18_S179","Moldova","MDR"
"TB-111-18004-18_S145","Moldova","non-MDR"
"TB-111-18075-18_S141","Moldova","non-MDR"
"TB-222-5877-19_S275","Moldova","MDR"
"TB-111-18099-18_S101","Moldova","non-MDR"
"TB-111-18504-18-138_S23","Moldova","MDR"
"TB-222-63111-8_S145","Moldova","MDR"
"TB-111-18538-18-138_S51","Moldova","MDR"
"TB-444-5993-18_S30","Moldova","non-MDR"
"TB-444-6003-18_S100","Moldova","MDR"
"TB-111-18657-18-138_S24","Moldova","MDR"
"TB-111-18751-18-138_S50","Moldova","MDR"
"TB-444-6061-18_S104","Moldova","non-MDR"
"TB-222-6137-19_S254","Moldova","MDR"
"TB-444-6093-18_S105","Moldova","non-MDR"
"TB-111-18854-18-138_S26","Moldova","non-MDR"
"TB-111-19016-18_S131","Moldova","MDR"
"TB-111-19026-18-138_S21","Moldova","MDR"
"TB-111-19340-19_S114","Moldova","MDR"
"TB-111-19530-19_S147","Moldova","non-MDR"
"TB-111-19151-18-138_S23","Moldova","MDR"
"TB-111-19199-18_S116","Moldova","non-MDR"
"TB-444-6286-18_S101","Moldova","non-MDR"
"TB-222-6399-19_S260","Moldova","non-MDR"
"TB-111-19315-18_S152","Moldova","MDR"
"TB-111-19390-18_S119","Moldova","MDR"
"TB-444-6323-18_S44","Moldova","MDR"
"TB-111-19884-19_S90","Moldova","MDR"
"TB-111-19925-19_S143","Moldova","non-MDR"
"TB-111-19597-18_S76","Moldova","MDR"
"TB-111-19708-18_S166","Moldova","MDR"
"TB-111-20102-19_S20","Moldova","MDR"
"TB-111-19695-18_S173","Moldova","non-MDR"
"TB-222-6794-18_S69","Moldova","non-MDR"
"TB-111-19861-18_S172","Moldova","MDR"
"TB-444-5322-19_S59","Moldova","MDR"
"TB-111-19937-18_S168","Moldova","non-MDR"
"TB-111-20041-18_S161","Moldova","MDR"
"TB-111-20109-18_S2","Moldova","non-MDR"
"TB-111-20153-18_S165","Moldova","MDR"
"TB-444-5397-18_S29","Moldova","MDR"
"TB-111-20605-19_S166","Moldova","MDR"
"TB-111-20546-19_S105","Moldova","non-MDR"
"TB-111-20301-18_S1","Moldova","MDR"
"TB-111-20592-18_S45","Moldova","MDR"
"TB-222-7265-18_S214","Moldova","MDR"
"TB-111-21342-19_S88","Moldova","MDR"
"TB-111-21496-19_S122","Moldova","MDR"
"TB-222-6896-19_S269","Moldova","MDR"
"TB-111-20799-18_S33","Moldova","non-MDR"
"TB-111-21354-19_S138","Moldova","MDR"
"TB-222-6963-19_S213","Moldova","non-MDR"
"TB-111-20948-18_S39","Moldova","non-MDR"
"TB-222-7237-18_S66","Moldova","non-MDR"
"TB-111-21453-19_S133","Moldova","non-MDR"
"TB-222-7040-19_S280","Moldova","MDR"
"TB-111-21561-19_S150","Moldova","non-MDR"
"TB-111-21564-19_S97","Moldova","MDR"
