SeuqneceID,Clade,Type
TB-111-20964-19_S21,Beijing_2,Non-MDR
TB-444-2978-18_S212,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA191-2977_S1,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA0309-5304_S312,Beijing_2,Non-MDR
TB-111-16955-18_S91,Beijing_2,Non-MDR
TB-111-838-19_S255,Beijing_2,Non-MDR
TB-111-12057-18_S119,Beijing_2,Non-MDR
TB-222-6935-19_S242,Beijing_2,Non-MDR
TB-111-4-19F_S94,Beijing_2,Non-MDR
TB-111-662-18-138_S154,Beijing_2,Non-MDR
TB-111-21295-19_S149,Beijing_2,Non-MDR
TB-111-24592-18F_S225,Beijing_2,Non-MDR
TB-222-1300-19_S93,Beijing_2,Non-MDR
TB-111-18146-19_S64,Beijing_2,Non-MDR
TB-111-12836-18_S140,Beijing_2,Non-MDR
TB-111-9806-19_S134,Beijing_2,Non-MDR
TB-111-18597-19_S55,Beijing_2,Non-MDR
TB-111-637-19_S221,Beijing_2,Non-MDR
TB-111-19181-18-138_S55,Beijing_2,Non-MDR
TB-111-7315-19_S99,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA165-1641_S166,Beijing_2,Non-MDR
TB-444-3866-18_S88,Beijing_2,Non-MDR
TB-444-6299-18_S42,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA020-75_S20,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA125-1433_S126,Beijing_2,Non-MDR
TB-111-23190-18F_S230,Beijing_2,Non-MDR
TB-111-7306-18_S179,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA0255-3062_S65,Beijing_2,Non-MDR
TB-111-376-19_S243,Beijing_2,Non-MDR
TB-111-4-19-138_S54,Beijing_2,Non-MDR
TB-111-9735-18_S118,Beijing_2,Non-MDR
TB-DNA0372_S229,Beijing_2,Non-MDR
TB-111-16364-19_S4,Beijing_2,Non-MDR
TB-111-20815-18_S40,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA0231-3743_S41,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA0243-3742_S53,Beijing_2,Non-MDR
TB-DNA0358_S215,Beijing_2,Non-MDR
TB-111-17888-18_S150,Beijing_2,Non-MDR
TB-444-1559-18_S29,Beijing_2,Non-MDR
TB-111-15914-18_S72,Beijing_2,Non-MDR
TB-111-19854-18_S163,Beijing_2,Non-MDR
TB-333-3148-19_S78,Beijing_2,Non-MDR
TB-444-6730-18_S177,Beijing_2,MDR
TB-MoldovaSeq-DNA098-284_S99,Beijing_2,MDR
TB-MoldovaSeq-DNA160-1247_S161,Beijing_2,MDR
TB-222-5589-19_S15,Beijing_2,MDR
TB-333-1625-19_S13,Beijing_2,MDR
TB-222-550-18_S19,Beijing_2,MDR
TB-222-3636-19_S114,Beijing_2,Non-MDR
TB-111-16366-19_S111,Beijing_2,Non-MDR
TB-444-4276-19_S7,Beijing_2,Non-MDR
TB-444-4689-19_S82,Beijing_2,Non-MDR
TB-444-5430-19_S74,Beijing_2,Non-MDR
TB-444-80-19_S256,Beijing_2,Non-MDR
TB-222-517-19_S1,Beijing_2,Non-MDR
TB-111-18296-18_S50,Beijing_2,MDR
TB-444-5924-18_S109,Beijing_2,MDR
TB-222-6436-18_S141,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA0196-1878_S6,Beijing_2,Non-MDR
TB-111-8958-18_S77,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA0218-4275_S28,Beijing_2,Non-MDR
TB-111-3TB-333-19_S116,Beijing_2,Non-MDR
TB-111-17085-19_S54,Beijing_2,Non-MDR
TB-111-12039-18_S255,Beijing_2,Non-MDR
TB-111-7582-18_S8,Beijing_2,Non-MDR
TB-111-1481-18-138_S63,Beijing_2,Non-MDR
TB-444-5426-18_S29,Beijing_2,Non-MDR
TB-444-6340-18_S96,Beijing_2,Non-MDR
TB-111-5633-19_S78,Beijing_2,Non-MDR
TB-444-3582-18_S46,Beijing_2,Non-MDR
TB-444-3826-18_S120,Beijing_2,Non-MDR
TB-444-3655-18_S128,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA120-1556_S121,Beijing_2,Non-MDR
TB-111-16408-19_S26,Beijing_2,Non-MDR
TB-111-18825-19_S38,Beijing_2,Non-MDR
TB-DNA0367_S224,Beijing_2,Non-MDR
TB-111-21515-19_S82,Beijing_2,Non-MDR
TB-333-1295-19-138_S59,Beijing_2,Non-MDR
TB-111-14915-19_S44,Beijing_2,Non-MDR
TB-111-19737-19_S32,Beijing_2,Non-MDR
TB-111-257-19_S211,Beijing_2,Non-MDR
TB-333-3150-19_S156,Beijing_2,Non-MDR
TB-111-571-19_S162,Beijing_2,Non-MDR
TB-111-254-19_S240,Beijing_2,Non-MDR
TB-333-4869-19_S74,Beijing_2,Non-MDR
TB-444-4476-19_S11,Beijing_2,Non-MDR
TB-111-12357-18_S122,Beijing_2,Non-MDR
TB-111-16224-19_S68,Beijing_2,Non-MDR
TB-DNA0355_S212,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA044-512_S44,Beijing_2,Non-MDR
TB-111-15778-18_S29,Beijing_2,Non-MDR
TB-111-616-18_S264,Beijing_2,Non-MDR
TB-111-20820-19_S72,Beijing_2,Non-MDR
TB-333-5531-19-138_S111,Beijing_2,Non-MDR
TB-111-14697-18-138_S13,Beijing_2,Non-MDR
TB-222-4120-18_S210,Beijing_2,Non-MDR
TB-111-2675-19_S46,Beijing_2,Non-MDR
